district_area_maharashtra,nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop_label
Latur,5,126,32,34.92,73.42,6.04,553.87,grapes
Nashik,13,97,118,22.81,47.24,6.02,971.38,grapes
Kolhapur,55,40,123,28.21,72.66,7.45,568.4,watermelon
Osmanabad,63,27,117,29.47,54.25,5.65,884.3,cotton
Parbhani,92,129,154,23.26,80.53,6.71,364.35,mungbean
Satara,39,75,176,24.63,45.16,6.97,827.2,cotton
Dhule,43,115,71,31.57,78.07,7.02,912.78,coffee
Latur,6,28,39,28.9,40.22,7.32,1149.83,lentil
Ahmednagar,32,23,137,33.15,54.28,6.29,305.17,mothbeans
Sangli,136,88,175,29.36,54.57,5.57,1014.93,cotton
Sangli,134,23,198,20.48,49.76,6.2,697.31,rice
Bhandara,110,87,177,28.62,59.66,6.51,982.45,orange
Beed,89,86,109,23.75,49.04,5.6,129.99,mango
Parbhani,23,66,110,20.87,81.75,5.6,999.78,coffee
Jalgaon,92,81,98,24.26,43.76,6.13,684.0,grapes
Beed,131,26,13,28.93,73.67,7.31,888.8,blackgram
Bhandara,16,53,25,24.95,54.48,6.0,1104.29,lentil
Pune,70,60,7,26.87,71.16,6.57,402.87,lentil
Sangli,92,97,158,29.96,46.18,6.3,927.73,mothbeans
Sangli,115,24,18,32.64,45.77,7.3,801.25,apple
Amravati,119,85,7,21.74,70.38,5.87,124.73,rice
Satara,86,140,182,23.84,81.12,5.54,726.37,pigeonpeas
Aurangabad,23,130,186,33.71,84.9,5.92,986.83,rice
Akola,35,36,69,33.34,57.25,6.54,453.04,mango
Nanded,86,42,67,26.24,85.11,6.02,416.48,rice
Aurangabad,31,23,166,33.77,58.58,7.03,843.99,chickpea
Solapur,40,90,129,31.04,66.29,7.44,522.72,muskmelon
Nashik,60,137,89,27.22,51.23,6.57,1087.5,mango
Pune,69,47,162,31.92,42.78,7.03,106.17,coconut
Latur,137,103,184,32.22,56.94,7.15,944.85,coconut
Pune,138,85,60,27.86,55.49,7.17,1058.1,muskmelon
Sangli,82,126,179,31.92,49.25,6.23,122.77,chickpea
Wardha,121,86,22,20.97,89.06,6.84,1157.6,mothbeans
Satara,92,90,61,32.7,50.82,6.01,1192.37,pigeonpeas
Aurangabad,94,49,54,26.04,87.57,7.45,542.64,orange
Pune,80,32,90,31.87,78.85,5.52,287.02,lentil
Kolhapur,49,126,153,25.14,67.4,6.89,385.68,banana
Dhule,34,8,85,27.09,58.95,5.51,286.73,banana
Amravati,87,65,53,24.73,72.64,7.2,961.75,lentil
Nagpur,67,23,73,27.01,64.26,5.83,1001.44,blackgram
Latur,95,70,40,21.98,70.52,7.37,218.27,orange
Osmanabad,4,14,83,27.76,59.02,5.53,590.44,banana
Pune,114,33,111,29.21,62.17,6.66,760.42,rice
Solapur,140,48,102,22.98,53.97,7.21,418.39,lentil
Beed,13,32,186,29.23,76.0,6.09,279.34,lentil
Akola,55,68,162,30.7,41.53,6.75,746.42,muskmelon
Jalgaon,4,89,198,25.31,57.71,5.79,1138.23,apple
Nashik,117,53,195,33.58,72.26,6.11,795.41,watermelon
Solapur,75,131,178,28.83,79.84,6.09,109.15,coffee
